epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2816.18,1.46191,1.20134,1.1307,0.45854,0.37927,0.37624,0.22281,1.38783,1.10695,1.11223,0.008614,0.008614,0.008614
44,2881.17,1.45696,1.19047,1.13003,0.45735,0.38052,0.37953,0.22378,1.38772,1.10504,1.11056,0.008581,0.008581,0.008581
45,2945.71,1.45373,1.1922,1.12556,0.47281,0.37265,0.37779,0.22341,1.38814,1.1057,1.10937,0.008548,0.008548,0.008548
46,3010.69,1.45115,1.18491,1.12616,0.44767,0.38264,0.37791,0.22226,1.38372,1.10638,1.10909,0.008515,0.008515,0.008515
47,3075.42,1.45049,1.18411,1.12468,0.45503,0.38668,0.38285,0.226,1.38175,1.09609,1.10723,0.008482,0.008482,0.008482
48,3140.09,1.45005,1.18143,1.12283,0.45038,0.38533,0.38253,0.22581,1.38251,1.09351,1.10657,0.008449,0.008449,0.008449
49,3204.84,1.4394,1.16911,1.11983,0.46538,0.38591,0.38396,0.22724,1.37776,1.0935,1.10242,0.008416,0.008416,0.008416
50,3269.86,1.44809,1.1759,1.12152,0.47994,0.38783,0.38797,0.22945,1.37414,1.08743,1.10153,0.008383,0.008383,0.008383
51,3334.68,1.44142,1.16886,1.1145,0.4704,0.38852,0.38564,0.22798,1.37409,1.08969,1.09956,0.00835,0.00835,0.00835
52,3399.55,1.43963,1.16689,1.12048,0.47219,0.3909,0.39149,0.23255,1.37089,1.08056,1.09838,0.008317,0.008317,0.008317
53,3465.15,1.44389,1.16556,1.11674,0.47258,0.38832,0.39056,0.23116,1.37038,1.07808,1.09659,0.008284,0.008284,0.008284
54,3530.11,1.43337,1.15751,1.11323,0.47076,0.38918,0.38967,0.2318,1.36871,1.07829,1.09461,0.008251,0.008251,0.008251
55,3594.54,1.43224,1.15808,1.11342,0.47896,0.39215,0.39342,0.23377,1.36293,1.07219,1.09358,0.008218,0.008218,0.008218
56,3659.73,1.4337,1.15498,1.11173,0.475,0.39221,0.39442,0.23402,1.36914,1.07472,1.0948,0.008185,0.008185,0.008185
57,3724.38,1.42761,1.14692,1.10889,0.47698,0.39141,0.39256,0.23309,1.36534,1.07384,1.09299,0.008152,0.008152,0.008152
58,3789.42,1.42353,1.1418,1.10581,0.46928,0.39394,0.39289,0.23244,1.36691,1.07106,1.09365,0.008119,0.008119,0.008119
59,3854.36,1.42265,1.14624,1.10704,0.47951,0.3994,0.39865,0.23699,1.36185,1.0669,1.09154,0.008086,0.008086,0.008086
60,3919.34,1.42377,1.1464,1.1056,0.47561,0.39879,0.39921,0.23711,1.3628,1.0663,1.08977,0.008053,0.008053,0.008053
61,3983.98,1.42399,1.1405,1.10197,0.48005,0.39501,0.40075,0.23823,1.35688,1.06149,1.08801,0.00802,0.00802,0.00802
62,4048.67,1.42345,1.14154,1.10542,0.48237,0.39828,0.40284,0.2396,1.35363,1.06023,1.08726,0.007987,0.007987,0.007987
63,4113.88,1.42686,1.14347,1.10442,0.48136,0.39578,0.40049,0.23966,1.35361,1.06099,1.08558,0.007954,0.007954,0.007954
64,4178.35,1.42073,1.13737,1.10456,0.48612,0.40175,0.40526,0.24188,1.35396,1.05615,1.08622,0.007921,0.007921,0.007921
65,4243.24,1.41462,1.1284,1.09827,0.48945,0.40269,0.40334,0.241,1.35237,1.05604,1.08433,0.007888,0.007888,0.007888
66,4308.58,1.4078,1.12558,1.09701,0.48869,0.40041,0.40425,0.24172,1.35022,1.05257,1.08314,0.007855,0.007855,0.007855
67,4373.47,1.41181,1.12746,1.09732,0.49441,0.39794,0.40436,0.24133,1.34805,1.05169,1.08077,0.007822,0.007822,0.007822
68,4438.46,1.41205,1.12306,1.09653,0.49663,0.39791,0.40362,0.2415,1.35065,1.05108,1.08129,0.007789,0.007789,0.007789
69,4503.55,1.40692,1.1204,1.0956,0.48845,0.40298,0.40479,0.24131,1.34693,1.05063,1.0816,0.007756,0.007756,0.007756
70,4568.62,1.40819,1.1203,1.0926,0.49307,0.40466,0.40464,0.24091,1.34781,1.048,1.07976,0.007723,0.007723,0.007723
71,4633.57,1.40919,1.11746,1.09403,0.49749,0.40114,0.40719,0.24298,1.3462,1.04692,1.07871,0.00769,0.00769,0.00769
72,4698.73,1.40885,1.12029,1.09057,0.49084,0.40268,0.40892,0.24398,1.34434,1.04507,1.07739,0.007657,0.007657,0.007657
73,4763.74,1.40672,1.11222,1.09382,0.49703,0.40126,0.40905,0.24413,1.34304,1.04331,1.07629,0.007624,0.007624,0.007624
74,4828.26,1.41052,1.11736,1.09322,0.50456,0.40365,0.40895,0.24409,1.34342,1.04302,1.07601,0.007591,0.007591,0.007591
75,4892.99,1.40603,1.11769,1.09038,0.4985,0.4072,0.40886,0.24516,1.34227,1.04295,1.07507,0.007558,0.007558,0.007558
76,4957.76,1.40917,1.1153,1.09156,0.49809,0.4028,0.4083,0.24445,1.34242,1.04027,1.07495,0.007525,0.007525,0.007525
77,5022.51,1.40745,1.11245,1.09077,0.49506,0.40617,0.40894,0.24479,1.34166,1.04066,1.07409,0.007492,0.007492,0.007492
78,5086.76,1.40247,1.11154,1.08977,0.4991,0.405,0.40994,0.2447,1.34145,1.03844,1.07397,0.007459,0.007459,0.007459
79,5151.15,1.39855,1.10715,1.08832,0.50023,0.40535,0.41244,0.24703,1.33988,1.03681,1.07279,0.007426,0.007426,0.007426
80,5215.64,1.4063,1.10732,1.08633,0.49658,0.40816,0.41143,0.24629,1.3392,1.03704,1.07202,0.007393,0.007393,0.007393
81,5280.7,1.3972,1.1015,1.08409,0.49967,0.40669,0.41209,0.24613,1.33771,1.03608,1.0715,0.00736,0.00736,0.00736
82,5345.7,1.38968,1.09426,1.08279,0.49783,0.40707,0.41252,0.2471,1.33655,1.03524,1.07064,0.007327,0.007327,0.007327
83,5410.93,1.39612,1.10011,1.08275,0.49708,0.40777,0.41289,0.24741,1.33601,1.03312,1.07011,0.007294,0.007294,0.007294
84,5476.18,1.39259,1.0992,1.08067,0.50159,0.40158,0.41253,0.24801,1.33516,1.03279,1.06953,0.007261,0.007261,0.007261
85,5540.67,1.39316,1.09538,1.08025,0.49575,0.40814,0.41327,0.24859,1.33392,1.0305,1.06821,0.007228,0.007228,0.007228
86,5605.55,1.3923,1.09125,1.07967,0.49689,0.40857,0.41582,0.24954,1.33264,1.02878,1.06762,0.007195,0.007195,0.007195
87,5670.14,1.39242,1.09099,1.08146,0.4893,0.41435,0.41654,0.24981,1.33123,1.02672,1.06649,0.007162,0.007162,0.007162
88,5734.5,1.3903,1.09255,1.07938,0.48654,0.41484,0.4173,0.24966,1.33004,1.02547,1.06552,0.007129,0.007129,0.007129
89,5799.4,1.39409,1.0908,1.08048,0.49327,0.40732,0.4159,0.24983,1.33062,1.02562,1.06535,0.007096,0.007096,0.007096
90,5864.35,1.38536,1.08968,1.07703,0.49437,0.4113,0.41677,0.25064,1.33019,1.02455,1.06507,0.007063,0.007063,0.007063
91,5929.1,1.3842,1.09045,1.07834,0.49971,0.4116,0.41732,0.25067,1.32901,1.02395,1.06449,0.00703,0.00703,0.00703
92,5993.91,1.39247,1.08315,1.07567,0.50365,0.41125,0.41868,0.25158,1.3269,1.02203,1.06298,0.006997,0.006997,0.006997
93,6058.97,1.39079,1.08909,1.07811,0.507,0.41248,0.41977,0.25233,1.32647,1.02224,1.06226,0.006964,0.006964,0.006964
94,6123.57,1.38639,1.08078,1.07617,0.50966,0.41167,0.42032,0.25287,1.32669,1.02248,1.06221,0.006931,0.006931,0.006931
95,6188.52,1.38072,1.08027,1.07414,0.50973,0.40925,0.42063,0.25278,1.32632,1.02202,1.06189,0.006898,0.006898,0.006898
96,6252.6,1.38098,1.08097,1.07356,0.50173,0.41532,0.41994,0.25237,1.32663,1.02033,1.06155,0.006865,0.006865,0.006865
97,6316.9,1.38028,1.07799,1.07368,0.50574,0.41159,0.42022,0.25284,1.32662,1.01965,1.0613,0.006832,0.006832,0.006832
98,6381.96,1.37729,1.07429,1.07092,0.5059,0.41328,0.42259,0.25417,1.32633,1.01873,1.06095,0.006799,0.006799,0.006799
99,6446.79,1.3836,1.07387,1.07128,0.4988,0.41796,0.42261,0.254,1.32702,1.01729,1.06072,0.006766,0.006766,0.006766
100,6511.44,1.37985,1.06947,1.0682,0.50101,0.41789,0.42309,0.25416,1.32581,1.01681,1.06004,0.006733,0.006733,0.006733
101,6575.9,1.37949,1.07655,1.07203,0.49705,0.41871,0.42269,0.25476,1.3251,1.01678,1.05944,0.0067,0.0067,0.0067
102,6640.78,1.37691,1.07105,1.06815,0.5031,0.41662,0.42361,0.25539,1.32456,1.01561,1.05916,0.006667,0.006667,0.006667
103,6705.53,1.37314,1.06827,1.06898,0.50241,0.41874,0.42334,0.2552,1.32362,1.01511,1.05864,0.006634,0.006634,0.006634
104,6769.89,1.37759,1.06535,1.06688,0.50531,0.41576,0.42359,0.25555,1.32296,1.01381,1.05825,0.006601,0.006601,0.006601
105,6834.75,1.37305,1.06912,1.06599,0.50395,0.41743,0.42389,0.2557,1.32279,1.01373,1.05795,0.006568,0.006568,0.006568
106,6899.03,1.37389,1.06449,1.06493,0.5082,0.41392,0.42376,0.25583,1.32153,1.01334,1.05701,0.006535,0.006535,0.006535
107,6963.76,1.36978,1.06463,1.06603,0.50539,0.41694,0.42416,0.25634,1.32076,1.01187,1.05622,0.006502,0.006502,0.006502
108,7028.67,1.37768,1.07015,1.06821,0.50434,0.41803,0.42552,0.25682,1.32037,1.01089,1.05578,0.006469,0.006469,0.006469
109,7093.1,1.37006,1.06707,1.06243,0.50167,0.42183,0.42557,0.25638,1.32061,1.01065,1.0555,0.006436,0.006436,0.006436
110,7157.34,1.36814,1.05689,1.06222,0.50779,0.41767,0.42626,0.25676,1.31966,1.00979,1.05468,0.006403,0.006403,0.006403
111,7221.94,1.37065,1.05701,1.06242,0.51059,0.41889,0.42667,0.25745,1.32006,1.00948,1.05457,0.00637,0.00637,0.00637
112,7286.83,1.37206,1.06042,1.05941,0.50984,0.42107,0.42772,0.25762,1.32023,1.00892,1.05418,0.006337,0.006337,0.006337
113,7351.68,1.36823,1.05822,1.06243,0.50759,0.42121,0.42796,0.2581,1.32006,1.00867,1.05381,0.006304,0.006304,0.006304
114,7416.64,1.36698,1.05614,1.05693,0.51145,0.42191,0.42796,0.25783,1.31969,1.00782,1.05321,0.006271,0.006271,0.006271
115,7481.57,1.36984,1.05464,1.05966,0.51192,0.42198,0.42891,0.25789,1.31919,1.00681,1.05268,0.006238,0.006238,0.006238
116,7546.51,1.36908,1.0539,1.057,0.5117,0.42344,0.42886,0.25844,1.31816,1.00611,1.05216,0.006205,0.006205,0.006205
117,7611.44,1.36767,1.0584,1.05869,0.50357,0.42573,0.42876,0.25823,1.31811,1.00607,1.05185,0.006172,0.006172,0.006172
118,7676.34,1.36105,1.05156,1.05803,0.50241,0.42498,0.42925,0.25883,1.31863,1.00577,1.05164,0.006139,0.006139,0.006139
119,7741.02,1.3624,1.0533,1.05675,0.50386,0.42233,0.42933,0.25876,1.31811,1.0051,1.05119,0.006106,0.006106,0.006106
120,7806.17,1.36438,1.04938,1.05603,0.50354,0.42383,0.42967,0.25891,1.31769,1.00447,1.05089,0.006073,0.006073,0.006073
121,7870.87,1.3662,1.05244,1.05813,0.50574,0.42391,0.43048,0.25937,1.31718,1.00415,1.05057,0.00604,0.00604,0.00604
